"","Participant.Private.ID","conditionText","contrast","absAngError","condition","contrastHigh","contrastMed","contrastLow"
"92",5793287,"clear","High",3.23998876249188,0,1,0,0
"93",5793287,"clear","Low",2.43494882292201,0,0,0,1
"94",5793287,"clear","Medium",2.76330331753571,0,0,1,0
"95",5793287,"clear","Medium",1.97863505964398,0,0,1,0
"96",5793287,"clear","High",2.02136494035602,0,1,0,0
"97",5793287,"clear","Low",12.7465809646885,0,0,0,1
"98",5793287,"clear","High",3.97506745679604,0,1,0,0
"99",5793287,"clear","Medium",5.02245300224339,0,0,1,0
"100",5793287,"clear","Low",14.1305433193515,0,0,0,1
"101",5793287,"clear","Medium",4.83210876235144,0,0,1,0
"102",5793287,"clear","Medium",0.0357107105347936,0,0,1,0
"103",5793287,"clear","Low",4.03771062097712,0,0,0,1
"104",5793287,"clear","High",1.06864320168417,0,1,0,0
"105",5793287,"clear","High",0.484606009544625,0,1,0,0
"106",5793287,"clear","High",3.51539399045538,0,1,0,0
"107",5793287,"clear","Low",18.6321874353263,0,0,0,1
"108",5793287,"clear","Medium",5.6074502424536,0,0,1,0
"109",5793287,"blur","High",1.35297925009325,1,1,0,0
"110",5793287,"blur","High",2.30027744918559,1,1,0,0
"111",5793287,"blur","High",0.449369448707963,1,1,0,0
"112",5793287,"blur","Medium",2.51105950016907,1,0,1,0
"113",5793287,"blur","High",1.12330271407543,1,1,0,0
"114",5793287,"blur","Low",10.1781962500001,1,0,0,1
"115",5793287,"blur","High",0.930955301972978,1,1,0,0
"116",5793287,"blur","Medium",0.707852244372225,1,0,1,0
"117",5793287,"blur","Low",9.13408772396236,1,0,0,1
"118",5793287,"blur","Low",24.2612232444987,1,0,0,1
"119",5793287,"blur","Low",18.877193123152,1,0,0,1
"120",5793287,"blur","Low",3.59464336859144,1,0,0,1
"121",5793287,"blur","Low",0.405356631408555,1,0,0,1
"122",5793287,"blur","Medium",0.69550287742477,1,0,1,0
"123",5793287,"blur","Medium",4.60015982608067,1,0,1,0
"124",5793287,"blur","Low",7.95658424314913,1,0,0,1
"125",5793287,"blur","Medium",1.48894049983093,1,0,1,0
"126",5793287,"blur","Low",8.04341575685087,1,0,0,1
"127",5793287,"blur","Medium",1.41797079220284,1,0,1,0
"128",5793287,"blur","Medium",3.3664606634298,1,0,1,0
"129",5793287,"blur","Medium",2.76330331753571,1,0,1,0
"130",5793287,"blur","High",0.914926957147866,1,1,0,0
"131",5793287,"blur","High",2.18775413327191,1,1,0,0
"132",5793287,"blur","High",0.409677397860384,1,1,0,0
"133",5793287,"blur","High",2.0295609213491,1,1,0,0
"134",5793287,"blur","Low",4.48460600954462,1,0,0,1
"135",5793287,"blur","Medium",5.62229722866827,1,0,1,0
"136",5793287,"blur","High",4.23527116638204,1,1,0,0
"137",5793287,"blur","Low",12.449369448708,1,0,0,1
"138",5793287,"blur","Medium",0.674036897984505,1,0,1,0
"139",5793287,"blur","Low",1.66557354074964,1,0,0,1
"140",5793287,"blur","High",2.30027744918559,1,1,0,0
"141",5793287,"blur","Low",1.21318613229182,1,0,0,1
"142",5793287,"blur","High",4.08745230863229,1,1,0,0
"143",5793287,"blur","Medium",4.91492695714787,1,0,1,0
"144",5793287,"blur","Medium",5.01689347810002,1,0,1,0
"145",5793287,"blur","High",2.66034829453533,1,1,0,0
"146",5793287,"blur","Medium",3.59464336859144,1,0,1,0
