Participant.Private.ID,condition,contrast,totAttempt,totCorrect,percCorrect
5410422,clear,7,1,1,1
5410422,clear,6,1,1,1
5410422,clear,5,2,2,1
5410422,clear,4,4,4,1
5410422,clear,3,11,10,0.9090909090909091
5410422,clear,2,10,8,0.8
5410422,clear,1,8,1,0.125
5418541,blur,10,1,1,1
5418541,blur,9,1,1,1
5418541,blur,8,1,1,1
5418541,blur,7,1,1,1
5418541,blur,6,1,1,1
5418541,blur,5,3,3,1
5418541,blur,4,4,4,1
5418541,blur,3,11,9,0.8181818181818182
5418541,blur,2,9,8,0.8888888888888888
5418541,blur,1,8,0,0
5418541,clear,10,1,1,1
5418541,clear,9,2,2,1
5418541,clear,8,2,2,1
5418541,clear,7,2,1,0.5
5418541,clear,6,1,1,1
5418541,clear,5,1,1,1
5418541,clear,4,1,1,1
5418541,clear,3,9,9,1
5418541,clear,2,9,9,1
5418541,clear,1,12,4,0.3333333333333333
5496748,blur,10,1,1,1
5496748,blur,9,1,1,1
5496748,blur,8,2,2,1
5496748,blur,7,4,4,1
5496748,blur,6,5,4,0.8
5496748,blur,5,11,9,0.8181818181818182
5496748,blur,4,9,7,0.7777777777777778
5496748,blur,3,7,0,0
5496748,clear,10,1,1,1
5496748,clear,9,1,1,1
5496748,clear,8,2,2,1
5496748,clear,7,3,3,1
5496748,clear,6,7,6,0.8571428571428571
5496748,clear,5,11,10,0.9090909090909091
5496748,clear,4,10,6,0.6
5496748,clear,3,5,0,0
5499000,blur,10,1,1,1
5499000,blur,9,1,1,1
5499000,blur,8,2,2,1
5499000,blur,7,3,3,1
5499000,blur,6,5,4,0.8
5499000,blur,5,8,7,0.875
5499000,blur,4,9,7,0.7777777777777778
5499000,blur,3,7,3,0.42857142857142855
5499000,blur,2,3,1,0.3333333333333333
5499000,blur,1,1,0,0
5499000,clear,10,1,1,1
5499000,clear,9,1,1,1
5499000,clear,8,1,1,1
5499000,clear,7,3,3,1
5499000,clear,6,4,4,1
5499000,clear,5,5,3,0.6
5499000,clear,4,8,7,0.875
5499000,clear,3,8,7,0.875
5499000,clear,2,7,2,0.2857142857142857
5499000,clear,1,2,0,0
5499152,blur,10,1,1,1
5499152,blur,9,1,1,1
5499152,blur,8,2,2,1
5499152,blur,7,4,4,1
5499152,blur,6,4,3,0.75
5499152,blur,5,11,9,0.8181818181818182
5499152,blur,4,9,8,0.8888888888888888
5499152,blur,3,8,0,0
5499152,clear,10,1,1,1
5499152,clear,9,1,1,1
5499152,clear,8,1,1,1
5499152,clear,7,1,1,1
5499152,clear,6,1,1,1
5499152,clear,5,7,7,1
5499152,clear,4,10,10,1
5499152,clear,3,11,5,0.45454545454545453
5499152,clear,2,5,2,0.4
5499152,clear,1,2,0,0
5499730,blur,10,1,1,1
5499730,blur,9,1,1,1
5499730,blur,8,1,1,1
5499730,blur,7,2,2,1
5499730,blur,6,5,5,1
5499730,blur,5,10,9,0.9
5499730,blur,4,10,7,0.7
5499730,blur,3,7,2,0.2857142857142857
5499730,blur,2,2,1,0.5
5499730,blur,1,1,0,0
5499730,clear,10,1,1,1
5499730,clear,9,1,1,1
5499730,clear,8,1,1,1
5499730,clear,7,1,1,1
5499730,clear,6,2,2,1
5499730,clear,5,2,2,1
5499730,clear,4,8,7,0.875
5499730,clear,3,10,10,1
5499730,clear,2,10,4,0.4
5499730,clear,1,4,0,0
5501417,blur,10,1,1,1
5501417,blur,9,1,1,1
5501417,blur,8,2,2,1
5501417,blur,7,4,4,1
5501417,blur,6,5,4,0.8
5501417,blur,5,11,9,0.8181818181818182
5501417,blur,4,9,7,0.7777777777777778
5501417,blur,3,7,0,0
5501417,clear,10,1,1,1
5501417,clear,9,1,1,1
5501417,clear,8,2,2,1
5501417,clear,7,3,3,1
5501417,clear,6,5,4,0.8
5501417,clear,5,10,9,0.9
5501417,clear,4,10,7,0.7
5501417,clear,3,7,1,0.14285714285714285
5501417,clear,2,1,0,0
5502940,blur,10,1,1,1
5502940,blur,9,4,4,1
5502940,blur,8,6,6,1
5502940,blur,7,10,7,0.7
5502940,blur,6,8,6,0.75
5502940,blur,5,7,3,0.42857142857142855
5502940,blur,4,3,1,0.3333333333333333
5502940,blur,3,1,0,0
5502940,clear,11,3,3,1
5502940,clear,10,7,7,1
5502940,clear,9,10,7,0.7
5502940,clear,8,9,6,0.6666666666666666
5502940,clear,7,6,3,0.5
5502940,clear,6,3,1,0.3333333333333333
5502940,clear,5,1,1,1
5502940,clear,4,1,0,0
5504684,blur,10,1,1,1
5504684,blur,9,1,1,1
5504684,blur,8,1,1,1
5504684,blur,7,1,1,1
5504684,blur,6,4,4,1
5504684,blur,5,10,10,1
5504684,blur,4,12,9,0.75
5504684,blur,3,8,2,0.25
5504684,blur,2,2,0,0
5504684,clear,10,1,1,1
5504684,clear,9,1,1,1
5504684,clear,8,1,1,1
5504684,clear,7,1,1,1
5504684,clear,6,1,1,1
5504684,clear,5,7,7,1
5504684,clear,4,12,12,1
5504684,clear,3,11,5,0.45454545454545453
5504684,clear,2,5,0,0
5505997,blur,12,2,2,1
5505997,blur,11,2,2,1
5505997,blur,10,5,3,0.6
5505997,blur,9,5,5,1
5505997,blur,8,6,4,0.6666666666666666
5505997,blur,7,8,6,0.75
5505997,blur,6,5,4,0.8
5505997,blur,5,5,1,0.2
5505997,blur,4,1,1,1
5505997,blur,3,1,0,0
5505997,clear,10,1,1,1
5505997,clear,9,1,1,1
5505997,clear,8,1,1,1
5505997,clear,7,1,1,1
5505997,clear,6,3,3,1
5505997,clear,5,10,10,1
5505997,clear,4,11,9,0.8181818181818182
5505997,clear,3,9,2,0.2222222222222222
5505997,clear,2,2,1,0.5
5505997,clear,1,1,0,0
5511369,blur,10,1,1,1
5511369,blur,9,2,2,1
5511369,blur,8,3,3,1
5511369,blur,7,4,3,0.75
5511369,blur,6,6,5,0.8333333333333334
5511369,blur,5,10,9,0.9
5511369,blur,4,9,6,0.6666666666666666
5511369,blur,3,5,0,0
5511369,clear,10,1,1,1
5511369,clear,9,1,1,1
5511369,clear,8,1,1,1
5511369,clear,7,1,1,1
5511369,clear,6,1,1,1
5511369,clear,5,10,10,1
5511369,clear,4,12,12,1
5511369,clear,3,11,2,0.18181818181818182
5511369,clear,2,2,0,0
5511959,blur,10,1,1,1
5511959,blur,9,1,1,1
5511959,blur,8,1,1,1
5511959,blur,7,4,4,1
5511959,blur,6,5,5,1
5511959,blur,5,10,7,0.7
5511959,blur,4,9,7,0.7777777777777778
5511959,blur,3,7,2,0.2857142857142857
5511959,blur,2,2,0,0
5511959,clear,12,1,1,1
5511959,clear,11,1,1,1
5511959,clear,10,2,1,0.5
5511959,clear,9,1,1,1
5511959,clear,8,1,1,1
5511959,clear,7,2,2,1
5511959,clear,6,4,4,1
