Participant.Private.ID,condition,logMAR,totAttempt,totCorrect,percCorrect
5297751,blur,1,1,1,1
5297751,blur,0.9000000000000001,1,1,1
5297751,blur,0.8,1,1,1
5297751,blur,0.7000000000000001,1,1,1
5297751,blur,0.6000000000000001,1,1,1
5297751,blur,0.5000000000000001,1,1,1
5297751,blur,0.40000000000000013,1,1,1
5297751,blur,0.30000000000000004,5,5,1
5297751,blur,0.20000000000000007,9,9,1
5297751,blur,0.10000000000000009,11,7,0.6363636363636364
5297751,blur,0,6,2,0.3333333333333333
5297751,blur,-0.09999999999999987,2,0,0
5297751,clear,1,1,1,1
5297751,clear,0.9000000000000001,1,1,1
5297751,clear,0.8,1,1,1
5297751,clear,0.7000000000000001,1,1,1
5297751,clear,0.6000000000000001,1,1,1
5297751,clear,0.5000000000000001,1,1,1
5297751,clear,0.40000000000000013,1,1,1
5297751,clear,0.30000000000000004,1,1,1
5297751,clear,0.20000000000000007,2,2,1
5297751,clear,0.10000000000000009,10,10,1
5297751,clear,0,10,9,0.9
5297751,clear,-0.09999999999999987,9,1,0.1111111111111111
5297751,clear,-0.19999999999999996,1,0,0
5344588,blur,1,1,1,1
5344588,blur,0.9000000000000001,1,1,1
5344588,blur,0.8,1,1,1
5344588,blur,0.7000000000000001,1,1,1
5344588,blur,0.6000000000000001,1,1,1
5344588,blur,0.5000000000000001,1,1,1
5344588,blur,0.40000000000000013,2,2,1
5344588,blur,0.30000000000000004,4,4,1
5344588,blur,0.20000000000000007,8,7,0.875
5344588,blur,0.10000000000000009,8,6,0.75
5344588,blur,0,7,3,0.42857142857142855
5344588,blur,-0.09999999999999987,3,1,0.3333333333333333
5344588,blur,-0.19999999999999996,2,1,0.5
5344588,clear,1,1,1,1
5344588,clear,0.9000000000000001,1,1,1
5344588,clear,0.8,1,1,1
5344588,clear,0.7000000000000001,1,1,1
5344588,clear,0.6000000000000001,1,1,1
5344588,clear,0.5000000000000001,1,1,1
5344588,clear,0.40000000000000013,1,1,1
5344588,clear,0.30000000000000004,2,2,1
5344588,clear,0.20000000000000007,5,5,1
5344588,clear,0.10000000000000009,8,7,0.875
5344588,clear,0,9,6,0.6666666666666666
5344588,clear,-0.09999999999999987,6,2,0.3333333333333333
5344588,clear,-0.19999999999999996,3,1,0.3333333333333333
5371387,blur,1,1,1,1
5371387,blur,0.9000000000000001,1,1,1
