"","Participant.Private.ID","condition","Reaction.Time","X.Coordinate","Y.Coordinate","video","midDistPx","angle2mid","contrast","offset","absOffset","angError","absAngError"
"1",5793287,"clear",1512.6,192,251,"50_20.mp4",-128,-26.6548564005779,"Medium",-20,20,-6.65485640057788,6.65485640057788
"2",5793287,"clear",880.5,437,255,"20right.mp4",117,24.6467708519312,"High",20,20,4.64677085193117,4.64677085193117
"3",5793287,"clear",861.5,173,252,"90_20.mp4",-147,-29.9621840964178,"Low",-20,20,-9.96218409641775,9.96218409641775
"4",5793287,"clear",643.3,496,257,"90_20right.mp4",176,34.6132857656403,"Low",20,20,14.6132857656403,14.6132857656403
"5",5793287,"clear",1324.4,266,258,"50_8.mp4",-54,-11.9565842431491,"Medium",-8,8,-3.95658424314913,3.95658424314913
"6",5793287,"clear",935.1,265,254,"50_12.mp4",-55,-12.1714582085875,"Medium",-12,12,-0.171458208587472,0.171458208587472
"7",5793287,"clear",1536.2,450,255,"90_16right.mp4",130,27.0126653479385,"Low",16,16,11.0126653479385,11.0126653479385
"8",5793287,"clear",817.9,339,250,"90_0right.mp4",19,4.2612232444987,"Low",0,0,4.2612232444987,4.2612232444987
"9",5793287,"clear",993.1,334,256,"4right.mp4",14,3.14249577707277,"High",4,4,-0.857504222927234,0.857504222927234
"10",5793287,"clear",769.1,360,252,"50_4right.mp4",40,8.91492695714787,"Medium",4,4,4.91492695714787,4.91492695714787
"11",5793287,"clear",1035.4,189,258,"50_16.mp4",-131,-27.1907212463252,"Medium",-16,16,-11.1907212463252,11.1907212463252
"12",5793287,"clear",977.3,357,250,"50_8right.mp4",37,8.25588871521673,"Medium",8,8,0.255888715216734,0.255888715216734
"13",5793287,"clear",950.2,411,254,"12right.mp4",91,19.6395890820697,"High",12,12,7.63958908206966,7.63958908206966
"14",5793287,"clear",1109.9,439,251,"50_20right.mp4",119,25.0168934781,"Medium",20,20,5.01689347810002,5.01689347810002
"15",5793287,"clear",949.2,338,256,"90_4right.mp4",18,4.03771062097712,"Low",4,4,0.0377106209771236,0.0377106209771236
"16",5793287,"clear",1147.3,382,253,"50_12right.mp4",62,13.6655735407496,"Medium",12,12,1.66557354074964,1.66557354074964
"17",5793287,"clear",997.6,297,254,"4.mp4",-23,-5.1539085612278,"High",-4,4,-1.1539085612278,1.1539085612278
"18",5793287,"clear",684.2,330,253,"0.mp4",10,2.24574256589507,"High",0,0,2.24574256589507,2.24574256589507
"19",5793287,"clear",802.7,296,258,"90_12.mp4",-24,-5.37670542805074,"Low",-12,12,6.62329457194926,6.62329457194926
"20",5793287,"clear",1075.5,233,254,"16.mp4",-87,-18.8384335579808,"High",-16,16,-2.83843355798076,2.83843355798076
"21",5793287,"clear",1728.1,279,254,"8.mp4",-41,-9.13408772396236,"High",-8,8,-1.13408772396236,1.13408772396236
"22",5793287,"clear",857.5,210,255,"20.mp4",-110,-23.3340412767098,"High",-20,20,-3.33404127670978,3.33404127670978
"23",5793287,"clear",1056.3,380,251,"90_4.mp4",60,13.2405199151872,"Low",-4,4,17.2405199151872,17.2405199151872
"24",5793287,"clear",1115,284,254,"90_8.mp4",-36,-8.03571071053479,"Low",-8,8,-0.0357107105347936,0.0357107105347936
"25",5793287,"clear",1081.8,508,254,"90_12right.mp4",188,36.3996776893538,"Low",12,12,24.3996776893538,24.3996776893538
"26",5793287,"clear",1171.1,323,254,"0right.mp4",3,0.674036897984505,"High",0,0,0.674036897984505,0.674036897984505
"27",5793287,"clear",1050.2,240,256,"90_16.mp4",-80,-17.4179707922028,"Low",-16,16,-1.41797079220284,1.41797079220284
"28",5793287,"clear",1548.5,412,255,"50_16right.mp4",92,19.8386485121748,"Medium",16,16,3.8386485121748,3.8386485121748
"29",5793287,"clear",718.9,324,254,"50_0right.mp4",4,0.898683620737992,"Medium",0,0,0.898683620737992,0.898683620737992
"30",5793287,"clear",1029.4,319,254,"50_4.mp4",-1,-0.224688179624502,"Medium",-4,4,3.7753118203755,3.7753118203755
"31",5793287,"clear",722.1,354,252,"90_0.mp4",34,7.59464336859144,"Low",0,0,7.59464336859144,7.59464336859144
"32",5793287,"clear",1106.5,251,250,"12.mp4",-69,-15.1409838350769,"High",-12,12,-3.14098383507691,3.14098383507691
"33",5793287,"clear",866.4,366,253,"8right.mp4",46,10.2257360191936,"High",8,8,2.22573601919363,2.22573601919363
"34",5793287,"clear",1636.9,439,254,"90_8right.mp4",119,25.0168934781,"Low",8,8,17.0168934781,17.0168934781
"35",5793287,"clear",904.6,337,254,"50_0.mp4",17,3.81407483429035,"Medium",0,0,3.81407483429035,3.81407483429035
"36",5793287,"clear",959.2,412,254,"16right.mp4",92,19.8386485121748,"High",16,16,3.8386485121748,3.8386485121748
"37",5793287,"clear",948.4,292,256,"90_8.mp4",-28,-6.26619809847925,"Low",-8,8,1.73380190152075,1.73380190152075
"38",5793287,"clear",926.3,426,253,"50_16right.mp4",106,22.5719854776982,"Medium",16,16,6.57198547769821,6.57198547769821
"39",5793287,"clear",1163.2,298,254,"50_0right.mp4",-22,-4.93095530197298,"Medium",0,0,-4.93095530197298,4.93095530197298
"40",5793287,"clear",927,256,256,"90_20.mp4",-64,-14.0890993380923,"Low",-20,20,5.91090066190771,5.91090066190771
"41",5793287,"clear",895,323,255,"0.mp4",3,0.674036897984505,"High",0,0,0.674036897984505,0.674036897984505
"42",5793287,"clear",1123.2,406,255,"50_12right.mp4",86,18.6369307577068,"Medium",12,12,6.63693075770683,6.63693075770683
