Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
2,1642765528845,21/01/2022 11:45:28,1642765528251,0,21/01/2022 11:45:28,62188,20,questionnaire-dbtg,,18719552,BLIND,5540429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x727,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,53722
1,1642699679839,20/01/2022 17:27:59,1642699679815,0,20/01/2022 17:27:59,62188,20,questionnaire-dbtg,,18685926,BLIND,5532853,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1642699687410,20/01/2022 17:28:07,1642699687403,0,20/01/2022 17:28:07,62188,20,questionnaire-dbtg,,18685926,BLIND,5532853,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x609,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,7588
1,1642541992679,18/01/2022 21:39:52,1642541992508,0,18/01/2022 21:39:52,62188,20,questionnaire-dbtg,,18624962,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1642542072914,18/01/2022 21:41:12,1642542072772,0,18/01/2022 21:41:12,62188,20,questionnaire-dbtg,,18624962,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,80264
1,1642536398305,18/01/2022 20:06:38,1642536398131,0,18/01/2022 20:06:38,62188,20,questionnaire-dbtg,,18622542,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1642536491917,18/01/2022 20:08:11,1642536491799,0,18/01/2022 20:08:11,62188,20,questionnaire-dbtg,,18622542,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,93669
1,1642533389868,18/01/2022 19:16:29,1642533389744,0,18/01/2022 19:16:29,62188,20,questionnaire-dbtg,,18618703,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642533401742,18/01/2022 19:16:41,1642533401645,0,18/01/2022 19:16:41,62188,20,questionnaire-dbtg,,18618703,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,11901
1,1642526092027,18/01/2022 17:14:52,1642526091909,0,18/01/2022 17:14:51,62188,20,questionnaire-dbtg,,18605754,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1642526108898,18/01/2022 17:15:08,1642526108812,0,18/01/2022 17:15:08,62188,20,questionnaire-dbtg,,18605754,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,16903
1,1642516371663,18/01/2022 14:32:51,1642516371524,0,18/01/2022 14:32:51,62188,20,questionnaire-dbtg,,18597270,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1642516387547,18/01/2022 14:33:07,1642516387435,0,18/01/2022 14:33:07,62188,20,questionnaire-dbtg,,18597270,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,15912
1,1642512464287,18/01/2022 13:27:44,1642512464162,0,18/01/2022 13:27:44,62188,20,questionnaire-dbtg,,18593702,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1642512470896,18/01/2022 13:27:50,1642512470825,0,18/01/2022 13:27:50,62188,20,questionnaire-dbtg,,18593702,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,6664
