Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
2,1644871262854,14/02/2022 20:41:02,1644871262797,0,14/02/2022 20:41:02,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5154.099999964237,,,,,0,1,0,,,,,,intro,
3,1644871303373,14/02/2022 20:41:43,1644871303289,0,14/02/2022 20:41:43,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,40479.5,,,,,0,1,0,,,,,,video,
4,1644871304797,14/02/2022 20:41:44,1644871304705,0,14/02/2022 20:41:44,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1405.6000000238419,,,,,0,1,0,,,,,,instructions,
5,1644871307006,14/02/2022 20:41:47,1644871306918,0,14/02/2022 20:41:46,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2196.199999988079,,,Left,1,0,1,0,,,,,,response,
6,1644871307064,14/02/2022 20:41:47,1644871306921,0,14/02/2022 20:41:46,62188,20,task-9sft,,19443999,BLIND,5770699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,173,Spreadsheet1,,,END TASK,,,,,49319,,,,,0,1,0,,,,,,,
1,1645028791056,16/02/2022 16:26:31,1645028789953,0,16/02/2022 16:26:29,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x722,,Eye dominance,3,168,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1645028849644,16/02/2022 16:27:29,1645028848481,0,16/02/2022 16:27:28,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,58489.80000001192,,,,,0,1,0,,,,,,intro,
3,1645028851581,16/02/2022 16:27:31,1645028850507,0,16/02/2022 16:27:30,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,2013.7999999523163,,,,,0,1,0,,,,,,video,
4,1645028859404,16/02/2022 16:27:39,1645028858250,0,16/02/2022 16:27:38,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,7732.300000011921,,,,,0,1,0,,,,,,instructions,
5,1645028860764,16/02/2022 16:27:40,1645028859715,0,16/02/2022 16:27:39,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Eye dominance,3,168,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,1450.8999999761581,,,Right,1,0,1,0,,,,,,response,
6,1645028860873,16/02/2022 16:27:40,1645028859718,0,16/02/2022 16:27:39,62188,20,task-9sft,,19501389,BLIND,5789390,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x722,,Eye dominance,3,168,Spreadsheet1,,,END TASK,,,,,69765,,,,,0,1,0,,,,,,,
1,1645041601718,16/02/2022 20:00:01,1645041601425,0,16/02/2022 20:00:01,62188,20,task-9sft,,19509669,BLIND,5791526,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,188,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1645041621735,16/02/2022 20:00:21,1645041621472,0,16/02/2022 20:00:21,62188,20,task-9sft,,19509669,BLIND,5791526,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Eye dominance,3,188,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,19999.899999976158,,,,,0,1,0,,,,,,intro,
